participant,statement_id,vote,updated_at
p3,8,0,2026-09-01T04:18:11.126Z
p3,9,1,2026-09-01T04:18:11.256Z
p3,10,1,2026-09-01T04:18:11.414Z
p3,11,1,2026-09-01T04:18:11.559Z
p3,12,-1,2026-09-01T04:18:11.675Z
p3,13,-1,2026-09-01T04:18:11.795Z
p3,14,0,2026-09-01T04:18:11.948Z
p3,15,0,2026-09-01T04:18:12.115Z
p3,16,1,2026-09-01T04:18:12.242Z
p3,17,-1,2026-09-01T04:18:12.404Z
p3,18,1,2026-09-01T04:18:12.592Z
p3,19,1,2026-09-01T04:18:12.785Z
p3,20,1,2026-09-01T04:18:12.968Z
p3,21,1,2026-09-01T04:18:13.107Z
p3,22,0,2026-09-01T04:18:13.212Z
p3,23,1,2026-09-01T04:18:13.371Z
p3,24,1,2026-09-01T04:18:13.550Z
p4,1,1,2026-09-01T04:18:09.920Z
p4,2,0,2026-09-01T04:18:10.059Z
p4,3,1,2026-09-01T04:18:10.187Z
p4,4,1,2026-09-01T04:18:10.338Z
p4,5,-1,2026-09-01T04:18:10.474Z
p4,6,0,2026-09-01T04:18:10.592Z
p4,7,0,2026-09-01T04:18:10.700Z
p4,8,-1,2026-09-01T04:18:10.806Z
p4,9,1,2026-09-01T04:18:10.966Z
p4,10,-1,2026-09-01T04:18:11.125Z
p4,11,1,2026-09-01T04:18:11.287Z
p4,12,-1,2026-09-01T04:18:11.470Z
p4,13,1,2026-09-01T04:18:11.612Z
p4,14,1,2026-09-01T04:18:11.767Z
p4,15,-1,2026-09-01T04:18:11.920Z
p4,16,-1,2026-09-01T04:18:12.047Z
p4,17,1,2026-09-01T04:18:12.210Z
p4,18,0,2026-09-01T04:18:12.373Z
p4,19,1,2026-09-01T04:18:12.498Z
p4,20,1,2026-09-01T04:18:12.627Z
p4,21,1,2026-09-01T04:18:12.752Z
p4,22,-1,2026-09-01T04:18:12.905Z
p4,23,1,2026-09-01T04:18:13.069Z
p4,24,1,2026-09-01T04:18:13.225Z
p5,1,1,2026-09-01T04:18:09.920Z
p5,2,1,2026-09-01T04:18:10.091Z
p5,3,1,2026-09-01T04:18:10.283Z
p5,4,0,2026-09-01T04:18:10.432Z
p5,5,1,2026-09-01T04:18:10.589Z
p5,6,-1,2026-09-01T04:18:10.745Z
p5,7,1,2026-09-01T04:18:10.870Z
p5,8,0,2026-09-01T04:18:11.000Z
p5,9,1,2026-09-01T04:18:11.125Z
p5,10,1,2026-09-01T04:18:11.257Z
p5,11,1,2026-09-01T04:18:11.411Z
p5,12,-1,2026-09-01T04:18:11.540Z
p5,13,-1,2026-09-01T04:18:11.676Z
p5,14,-1,2026-09-01T04:18:11.794Z
p5,15,-1,2026-09-01T04:18:11.920Z
p5,16,1,2026-09-01T04:18:12.079Z
p5,17,-1,2026-09-01T04:18:12.242Z
p5,18,1,2026-09-01T04:18:12.400Z
p5,19,0,2026-09-01T04:18:12.592Z
p5,20,1,2026-09-01T04:18:12.784Z
p5,21,1,2026-09-01T04:18:12.925Z
p5,22,0,2026-09-01T04:18:13.101Z
p5,23,1,2026-09-01T04:18:13.276Z
p5,24,1,2026-09-01T04:18:13.426Z
p6,1,1,2026-09-01T04:18:09.922Z
p6,2,1,2026-09-01T04:18:10.059Z
p6,3,1,2026-09-01T04:18:10.215Z
p6,4,1,2026-09-01T04:18:10.405Z
p6,5,1,2026-09-01T04:18:10.558Z
p6,6,0,2026-09-01T04:18:10.681Z
p6,7,0,2026-09-01T04:18:10.838Z
p6,8,-1,2026-09-01T04:18:11.027Z
p6,9,0,2026-09-01T04:18:11.190Z
p6,10,1,2026-09-01T04:18:11.319Z
p6,11,1,2026-09-01T04:18:11.416Z
p6,12,1,2026-09-01T04:18:11.534Z
p6,13,-1,2026-09-01T04:18:11.674Z
p6,14,1,2026-09-01T04:18:11.794Z
p6,15,1,2026-09-01T04:18:11.920Z
p6,16,1,2026-09-01T04:18:12.047Z
p6,17,1,2026-09-01T04:18:12.180Z
p6,18,0,2026-09-01T04:18:12.309Z
p6,19,0,2026-09-01T04:18:12.469Z
p6,20,1,2026-09-01T04:18:12.656Z
p6,21,1,2026-09-01T04:18:12.842Z
p6,22,1,2026-09-01T04:18:13.044Z
p6,23,0,2026-09-01T04:18:13.194Z
p6,24,1,2026-09-01T04:18:13.334Z
p7,1,1,2026-09-01T04:18:09.952Z
p7,2,1,2026-09-01T04:18:10.120Z
p7,3,1,2026-09-01T04:18:10.278Z
p7,4,-1,2026-09-01T04:18:10.411Z
p7,5,0,2026-09-01T04:18:10.534Z
p7,6,-1,2026-09-01T04:18:10.680Z
p7,7,1,2026-09-01T04:18:10.807Z
p7,8,0,2026-09-01T04:18:10.936Z
p7,9,1,2026-09-01T04:18:11.095Z
p7,10,0,2026-09-01T04:18:11.284Z
p7,11,1,2026-09-01T04:18:11.412Z
p7,12,-1,2026-09-01T04:18:11.535Z
p7,13,-1,2026-09-01T04:18:11.706Z
p7,14,1,2026-09-01T04:18:11.892Z
p7,15,1,2026-09-01T04:18:12.079Z
p7,16,1,2026-09-01T04:18:12.243Z
p7,17,1,2026-09-01T04:18:12.404Z
p7,18,1,2026-09-01T04:18:12.562Z
p7,19,0,2026-09-01T04:18:12.689Z
p7,20,-1,2026-09-01T04:18:12.814Z
p7,21,-1,2026-09-01T04:18:12.920Z
p7,22,1,2026-09-01T04:18:13.064Z
p7,23,1,2026-09-01T04:18:13.227Z
p7,24,1,2026-09-01T04:18:13.425Z
p8,1,1,2026-09-01T04:18:09.948Z
p8,2,1,2026-09-01T04:18:10.121Z
p8,3,1,2026-09-01T04:18:10.252Z
p8,4,0,2026-09-01T04:18:10.406Z
p8,5,1,2026-09-01T04:18:10.586Z
p8,6,1,2026-09-01T04:18:10.746Z
p8,7,1,2026-09-01T04:18:10.870Z
p8,8,-1,2026-09-01T04:18:11.000Z
p8,9,0,2026-09-01T04:18:11.126Z
p8,10,-1,2026-09-01T04:18:11.287Z
p8,11,1,2026-09-01T04:18:11.427Z
p8,12,-1,2026-09-01T04:18:11.565Z
p8,13,-1,2026-09-01T04:18:11.734Z
p8,14,1,2026-09-01T04:18:11.894Z
p8,15,1,2026-09-01T04:18:12.048Z
p8,16,1,2026-09-01T04:18:12.210Z
p8,17,0,2026-09-01T04:18:12.404Z
p8,18,1,2026-09-01T04:18:12.560Z
p8,19,1,2026-09-01T04:18:12.690Z
p8,20,1,2026-09-01T04:18:12.814Z
p8,21,1,2026-09-01T04:18:12.948Z
p8,22,0,2026-09-01T04:18:13.122Z
p8,23,1,2026-09-01T04:18:13.257Z
p8,24,1,2026-09-01T04:18:13.425Z
p9,1,1,2026-09-01T04:18:13.393Z
p9,2,1,2026-09-01T04:18:13.523Z
p9,3,1,2026-09-01T04:18:13.650Z
p9,4,1,2026-09-01T04:18:13.776Z
p9,5,1,2026-09-01T04:18:13.900Z
p9,6,-1,2026-09-01T04:18:14.055Z
p9,7,1,2026-09-01T04:18:14.224Z
p9,8,-1,2026-09-01T04:18:14.356Z
p9,9,-1,2026-09-01T04:18:14.481Z
p9,10,1,2026-09-01T04:18:14.607Z
p9,11,1,2026-09-01T04:18:14.732Z
p9,12,-1,2026-09-01T04:18:14.842Z
p9,13,-1,2026-09-01T04:18:14.968Z
p9,14,1,2026-09-01T04:18:15.079Z
p9,15,1,2026-09-01T04:18:15.197Z
p9,16,0,2026-09-01T04:18:15.323Z
p9,17,1,2026-09-01T04:18:15.476Z
p9,18,1,2026-09-01T04:18:15.640Z
p9,19,1,2026-09-01T04:18:15.768Z
p9,20,0,2026-09-01T04:18:15.879Z
p9,21,1,2026-09-01T04:18:15.983Z
p9,22,1,2026-09-01T04:18:16.143Z
p9,23,1,2026-09-01T04:18:16.276Z
p9,24,1,2026-09-01T04:18:16.443Z
p10,1,1,2026-09-01T04:18:13.394Z
p10,2,1,2026-09-01T04:18:13.522Z
p10,3,1,2026-09-01T04:18:13.680Z
p10,4,0,2026-09-01T04:18:13.867Z
p10,5,1,2026-09-01T04:18:14.059Z
p10,6,-1,2026-09-01T04:18:14.225Z
p10,7,1,2026-09-01T04:18:14.388Z
p10,8,0,2026-09-01T04:18:14.574Z
p10,9,1,2026-09-01T04:18:14.764Z
p10,10,0,2026-09-01T04:18:14.904Z
p10,11,1,2026-09-01T04:18:15.073Z
p10,12,-1,2026-09-01T04:18:15.207Z
p10,13,-1,2026-09-01T04:18:15.323Z
p10,14,0,2026-09-01T04:18:15.444Z
p10,15,1,2026-09-01T04:18:15.608Z
p10,16,0,2026-09-01T04:18:15.769Z
p10,17,1,2026-09-01T04:18:15.878Z
p10,18,1,2026-09-01T04:18:15.987Z
p10,19,1,2026-09-01T04:18:16.152Z
p10,20,1,2026-09-01T04:18:16.316Z
p10,21,0,2026-09-01T04:18:16.441Z
p10,22,0,2026-09-01T04:18:16.602Z
p10,23,1,2026-09-01T04:18:16.793Z
p10,24,1,2026-09-01T04:18:16.984Z
p11,1,1,2026-09-01T04:18:13.424Z
p11,2,1,2026-09-01T04:18:13.611Z
p11,3,1,2026-09-01T04:18:13.807Z
p11,4,1,2026-09-01T04:18:13.995Z
p11,5,1,2026-09-01T04:18:14.159Z
p11,6,-1,2026-09-01T04:18:14.322Z
p11,7,1,2026-09-01T04:18:14.512Z
p11,8,-1,2026-09-01T04:18:14.672Z
p11,9,1,2026-09-01T04:18:14.833Z
p11,10,-1,2026-09-01T04:18:14.998Z
p11,11,1,2026-09-01T04:18:15.135Z
p11,12,-1,2026-09-01T04:18:15.292Z
p11,13,-1,2026-09-01T04:18:15.444Z
p11,14,1,2026-09-01T04:18:15.576Z
p11,15,0,2026-09-01T04:18:15.704Z
p11,16,-1,2026-09-01T04:18:15.864Z
p11,17,1,2026-09-01T04:18:15.994Z
p11,18,1,2026-09-01T04:18:16.120Z
p11,19,0,2026-09-01T04:18:16.277Z
p11,20,1,2026-09-01T04:18:16.442Z
p11,21,0,2026-09-01T04:18:16.602Z
p11,22,-1,2026-09-01T04:18:16.797Z
p11,23,1,2026-09-01T04:18:16.988Z
p11,24,1,2026-09-01T04:18:17.149Z
p12,1,-1,2026-09-01T04:18:13.457Z
p12,2,1,2026-09-01T04:18:13.583Z
p12,3,1,2026-09-01T04:18:13.743Z
p12,4,1,2026-09-01T04:18:13.900Z
p12,5,1,2026-09-01T04:18:14.027Z
p12,6,0,2026-09-01T04:18:14.159Z
p12,7,1,2026-09-01T04:18:14.292Z
p12,8,-1,2026-09-01T04:18:14.444Z
p12,9,1,2026-09-01T04:18:14.606Z
p12,10,0,2026-09-01T04:18:14.760Z
p12,11,1,2026-09-01T04:18:14.935Z
p12,12,-1,2026-09-01T04:18:15.107Z
p12,13,-1,2026-09-01T04:18:15.295Z
p12,14,-1,2026-09-01T04:18:15.444Z
p12,15,1,2026-09-01T04:18:15.609Z
p12,16,0,2026-09-01T04:18:15.768Z
p12,17,-1,2026-09-01T04:18:15.906Z
p12,18,-1,2026-09-01T04:18:16.057Z
p12,19,-1,2026-09-01T04:18:16.184Z
p12,20,-1,2026-09-01T04:18:16.316Z
p12,21,1,2026-09-01T04:18:16.441Z
p12,22,1,2026-09-01T04:18:16.599Z
p12,23,-1,2026-09-01T04:18:16.766Z
p12,24,0,2026-09-01T04:18:16.887Z
p13,1,1,2026-09-01T04:18:13.583Z
p13,2,1,2026-09-01T04:18:13.744Z
p13,3,1,2026-09-01T04:18:13.900Z
p13,4,1,2026-09-01T04:18:14.058Z
p13,5,1,2026-09-01T04:18:14.224Z
p13,6,1,2026-09-01T04:18:14.356Z
p13,7,1,2026-09-01T04:18:14.481Z
p13,8,1,2026-09-01T04:18:14.638Z
p13,9,0,2026-09-01T04:18:14.891Z
p13,10,1,2026-09-01T04:18:15.068Z
p13,11,1,2026-09-01T04:18:15.197Z
p13,12,-1,2026-09-01T04:18:15.351Z
p13,13,1,2026-09-01T04:18:15.513Z
p13,14,-1,2026-09-01T04:18:15.640Z
p13,15,0,2026-09-01T04:18:15.769Z
p13,16,1,2026-09-01T04:18:15.906Z
p13,17,1,2026-09-01T04:18:16.057Z
p13,18,1,2026-09-01T04:18:16.201Z
p13,19,0,2026-09-01T04:18:16.371Z
p13,20,1,2026-09-01T04:18:16.559Z
p13,21,1,2026-09-01T04:18:16.750Z
p13,22,1,2026-09-01T04:18:16.891Z
p13,23,1,2026-09-01T04:18:17.057Z
p13,24,1,2026-09-01T04:18:17.215Z
p14,1,1,2026-09-01T04:18:13.584Z
p14,2,1,2026-09-01T04:18:13.713Z
p14,3,1,2026-09-01T04:18:13.863Z
p14,4,1,2026-09-01T04:18:14.059Z
p14,5,-1,2026-09-01T04:18:14.257Z
p14,6,-1,2026-09-01T04:18:14.416Z
p14,7,1,2026-09-01T04:18:14.544Z
p14,8,-1,2026-09-01T04:18:14.671Z
p14,9,-1,2026-09-01T04:18:14.832Z
p14,10,-1,2026-09-01T04:18:14.998Z
p14,11,1,2026-09-01T04:18:15.126Z
p14,12,-1,2026-09-01T04:18:15.296Z
p14,13,-1,2026-09-01T04:18:15.445Z
p14,14,1,2026-09-01T04:18:15.577Z
p14,15,1,2026-09-01T04:18:15.735Z
p14,16,1,2026-09-01T04:18:15.875Z
p14,17,1,2026-09-01T04:18:15.986Z
p14,18,1,2026-09-01T04:18:16.148Z
p14,19,0,2026-09-01T04:18:16.348Z
p14,20,1,2026-09-01T04:18:16.506Z
p14,21,1,2026-09-01T04:18:16.658Z
p14,22,1,2026-09-01T04:18:16.797Z
p14,23,1,2026-09-01T04:18:16.987Z
p14,24,1,2026-09-01T04:18:17.180Z
p15,1,1,2026-09-01T04:18:13.614Z
p15,2,1,2026-09-01T04:18:13.807Z
p15,3,0,2026-09-01T04:18:13.965Z
p15,4,1,2026-09-01T04:18:14.088Z
p15,5,-1,2026-09-01T04:18:14.256Z
p15,6,-1,2026-09-01T04:18:14.416Z
p15,7,1,2026-09-01T04:18:14.574Z
p15,8,-1,2026-09-01T04:18:14.733Z
p15,9,1,2026-09-01T04:18:14.841Z
p15,10,-1,2026-09-01T04:18:14.969Z
p15,11,1,2026-09-01T04:18:15.117Z
p15,12,-1,2026-09-01T04:18:15.264Z
p15,13,-1,2026-09-01T04:18:15.386Z
p15,14,1,2026-09-01T04:18:15.544Z
p15,15,-1,2026-09-01T04:18:15.704Z
p15,16,-1,2026-09-01T04:18:15.868Z
p15,17,1,2026-09-01T04:18:16.074Z
p15,18,1,2026-09-01T04:18:16.275Z
p15,19,1,2026-09-01T04:18:16.463Z
p15,20,1,2026-09-01T04:18:16.641Z
p15,21,1,2026-09-01T04:18:16.766Z
p15,22,1,2026-09-01T04:18:16.886Z
p15,23,1,2026-09-01T04:18:17.058Z
p15,24,1,2026-09-01T04:18:17.244Z
p16,1,1,2026-09-01T04:18:13.713Z
p16,2,1,2026-09-01T04:18:13.836Z
p16,3,1,2026-09-01T04:18:13.964Z
p16,4,-1,2026-09-01T04:18:14.086Z
p16,5,1,2026-09-01T04:18:14.255Z
p16,6,-1,2026-09-01T04:18:14.445Z
p16,7,1,2026-09-01T04:18:14.607Z
p16,8,0,2026-09-01T04:18:14.733Z
p16,9,1,2026-09-01T04:18:14.841Z
p16,10,-1,2026-09-01T04:18:14.968Z
p16,11,1,2026-09-01T04:18:15.110Z
p16,12,0,2026-09-01T04:18:15.295Z
p16,13,-1,2026-09-01T04:18:15.474Z
p16,14,-1,2026-09-01T04:18:15.670Z
p16,15,1,2026-09-01T04:18:15.864Z
p16,16,1,2026-09-01T04:18:15.996Z
p16,17,0,2026-09-01T04:18:16.120Z
p16,18,0,2026-09-01T04:18:16.247Z
p16,19,0,2026-09-01T04:18:16.378Z
p16,20,-1,2026-09-01T04:18:16.506Z
p16,21,0,2026-09-01T04:18:16.700Z
p16,22,0,2026-09-01T04:18:16.863Z
p16,23,0,2026-09-01T04:18:16.967Z
p16,24,1,2026-09-01T04:18:17.084Z
p17,1,0,2026-09-01T04:18:16.577Z
p17,2,-1,2026-09-01T04:18:16.705Z
p17,3,-1,2026-09-01T04:18:16.829Z
p17,4,1,2026-09-01T04:18:16.956Z
p17,5,1,2026-09-01T04:18:17.085Z
p17,6,-1,2026-09-01T04:18:17.216Z
p17,7,1,2026-09-01T04:18:17.376Z
p17,8,0,2026-09-01T04:18:17.541Z
p17,9,1,2026-09-01T04:18:17.706Z
p17,10,0,2026-09-01T04:18:17.907Z
p17,11,1,2026-09-01T04:18:18.084Z
p17,12,-1,2026-09-01T04:18:18.262Z
p17,13,-1,2026-09-01T04:18:18.420Z
p17,14,1,2026-09-01T04:18:18.547Z
p17,15,1,2026-09-01T04:18:18.708Z
p17,16,-1,2026-09-01T04:18:18.868Z
p17,17,1,2026-09-01T04:18:18.993Z
p17,18,-1,2026-09-01T04:18:19.121Z
p17,19,0,2026-09-01T04:18:19.246Z
p17,20,1,2026-09-01T04:18:19.367Z
p17,21,1,2026-09-01T04:18:19.487Z
p17,22,1,2026-09-01T04:18:19.641Z
p17,23,1,2026-09-01T04:18:19.835Z
p17,24,1,2026-09-01T04:18:19.942Z
p18,1,1,2026-09-01T04:18:17.026Z
p18,2,1,2026-09-01T04:18:17.149Z
p18,3,1,2026-09-01T04:18:17.278Z
p18,4,-1,2026-09-01T04:18:17.380Z
p18,5,1,2026-09-01T04:18:17.482Z
p18,6,0,2026-09-01T04:18:17.610Z
p18,7,1,2026-09-01T04:18:17.770Z
p18,8,0,2026-09-01T04:18:17.952Z
p18,9,1,2026-09-01T04:18:18.099Z
p18,10,1,2026-09-01T04:18:18.266Z
p18,11,1,2026-09-01T04:18:18.420Z
p18,12,-1,2026-09-01T04:18:18.578Z
p18,13,-1,2026-09-01T04:18:18.739Z
p18,14,1,2026-09-01T04:18:18.868Z
p18,15,1,2026-09-01T04:18:19.022Z
p18,16,1,2026-09-01T04:18:19.213Z
p18,17,-1,2026-09-01T04:18:19.398Z
p18,18,1,2026-09-01T04:18:19.549Z
p18,19,1,2026-09-01T04:18:19.649Z
p18,20,1,2026-09-01T04:18:19.766Z
p18,21,1,2026-09-01T04:18:19.930Z
p18,22,1,2026-09-01T04:18:20.096Z
p18,23,-1,2026-09-01T04:18:20.248Z
p18,24,1,2026-09-01T04:18:20.360Z
p19,1,1,2026-09-01T04:18:17.148Z
p19,2,1,2026-09-01T04:18:17.279Z
p19,3,-1,2026-09-01T04:18:17.420Z
p19,4,1,2026-09-01T04:18:17.585Z
p19,5,-1,2026-09-01T04:18:17.692Z
p19,6,-1,2026-09-01T04:18:17.794Z
p19,7,1,2026-09-01T04:18:17.965Z
p19,8,-1,2026-09-01T04:18:18.151Z
p19,9,1,2026-09-01T04:18:18.330Z
p19,10,-1,2026-09-01T04:18:18.484Z
p19,11,1,2026-09-01T04:18:18.611Z
p19,12,-1,2026-09-01T04:18:18.739Z
p19,13,-1,2026-09-01T04:18:18.899Z
p19,14,1,2026-09-01T04:18:19.057Z
p19,15,-1,2026-09-01T04:18:19.183Z
p19,16,0,2026-09-01T04:18:19.335Z
p19,17,-1,2026-09-01T04:18:19.517Z
p19,18,1,2026-09-01T04:18:19.686Z
p19,19,-1,2026-09-01T04:18:19.837Z
p19,20,0,2026-09-01T04:18:19.940Z
p19,21,1,2026-09-01T04:18:20.080Z
p19,22,1,2026-09-01T04:18:20.247Z
p19,23,1,2026-09-01T04:18:20.391Z
p19,24,1,2026-09-01T04:18:20.602Z
p20,1,1,2026-09-01T04:18:17.244Z
p20,2,-1,2026-09-01T04:18:17.383Z
p20,3,1,2026-09-01T04:18:17.523Z
p20,4,-1,2026-09-01T04:18:17.705Z
p20,5,1,2026-09-01T04:18:17.875Z
p20,6,-1,2026-09-01T04:18:18.049Z
p20,7,1,2026-09-01T04:18:18.217Z
p20,8,-1,2026-09-01T04:18:18.357Z
p20,9,1,2026-09-01T04:18:18.509Z
p20,10,0,2026-09-01T04:18:18.706Z
p20,11,1,2026-09-01T04:18:18.900Z
p20,12,-1,2026-09-01T04:18:19.112Z
p20,13,-1,2026-09-01T04:18:19.279Z
p20,14,-1,2026-09-01T04:18:19.392Z
p20,15,0,2026-09-01T04:18:19.487Z
p20,16,-1,2026-09-01T04:18:19.645Z
p20,17,1,2026-09-01T04:18:19.836Z
p20,18,-1,2026-09-01T04:18:19.973Z
p20,19,1,2026-09-01T04:18:20.175Z
p20,20,1,2026-09-01T04:18:20.365Z
p20,21,0,2026-09-01T04:18:20.541Z
p20,22,1,2026-09-01T04:18:20.664Z
p20,23,-1,2026-09-01T04:18:20.821Z
p20,24,1,2026-09-01T04:18:20.990Z
p21,1,1,2026-09-01T04:18:17.309Z
p21,2,0,2026-09-01T04:18:17.514Z
p21,3,1,2026-09-01T04:18:17.674Z
p21,4,1,2026-09-01T04:18:17.778Z
p21,5,0,2026-09-01T04:18:17.914Z
p21,6,-1,2026-09-01T04:18:18.050Z
p21,7,1,2026-09-01T04:18:18.206Z
p21,8,0,2026-09-01T04:18:18.357Z
p21,9,0,2026-09-01T04:18:18.511Z
p21,10,-1,2026-09-01T04:18:18.676Z
p21,11,1,2026-09-01T04:18:18.806Z
p21,12,0,2026-09-01T04:18:18.934Z
p21,13,-1,2026-09-01T04:18:19.057Z
p21,14,1,2026-09-01T04:18:19.183Z
p21,15,-1,2026-09-01T04:18:19.303Z
p21,16,1,2026-09-01T04:18:19.430Z
p21,17,-1,2026-09-01T04:18:19.550Z
p21,18,1,2026-09-01T04:18:19.656Z
p21,19,0,2026-09-01T04:18:19.812Z
p21,20,1,2026-09-01T04:18:19.984Z
p21,21,-1,2026-09-01T04:18:20.158Z
p21,22,-1,2026-09-01T04:18:20.301Z
p21,23,-1,2026-09-01T04:18:20.454Z
p21,24,-1,2026-09-01T04:18:20.578Z
p22,1,-1,2026-09-01T04:18:17.372Z
p22,2,1,2026-09-01T04:18:17.542Z
p22,3,1,2026-09-01T04:18:17.702Z
p22,4,0,2026-09-01T04:18:17.884Z
p22,5,1,2026-09-01T04:18:18.035Z
p22,6,-1,2026-09-01T04:18:18.205Z
p22,7,1,2026-09-01T04:18:18.387Z
p22,8,1,2026-09-01T04:18:18.547Z
p22,9,1,2026-09-01T04:18:18.708Z
p22,10,1,2026-09-01T04:18:18.899Z
p22,11,-1,2026-09-01T04:18:19.057Z
p22,12,-1,2026-09-01T04:18:19.214Z
p22,13,-1,2026-09-01T04:18:19.367Z
p22,14,-1,2026-09-01T04:18:19.518Z
p22,15,1,2026-09-01T04:18:19.691Z
p22,16,-1,2026-09-01T04:18:19.836Z
p22,17,1,2026-09-01T04:18:19.938Z
p22,18,1,2026-09-01T04:18:20.047Z
p22,19,1,2026-09-01T04:18:20.186Z
p22,20,-1,2026-09-01T04:18:20.360Z
p22,21,1,2026-09-01T04:18:20.515Z
p22,22,1,2026-09-01T04:18:20.664Z
p22,23,1,2026-09-01T04:18:20.823Z
p22,24,1,2026-09-01T04:18:20.990Z
p23,1,1,2026-09-01T04:18:17.376Z
p23,2,1,2026-09-01T04:18:17.541Z
p23,3,1,2026-09-01T04:18:17.674Z
p23,4,-1,2026-09-01T04:18:17.812Z
p23,5,1,2026-09-01T04:18:17.976Z
p23,6,-1,2026-09-01T04:18:18.115Z
p23,7,-1,2026-09-01T04:18:18.234Z
p23,8,1,2026-09-01T04:18:18.388Z
p23,9,1,2026-09-01T04:18:18.575Z
p23,10,1,2026-09-01T04:18:18.771Z
p23,11,1,2026-09-01T04:18:18.936Z
p23,12,-1,2026-09-01T04:18:19.056Z
p23,13,-1,2026-09-01T04:18:19.215Z
p23,14,0,2026-09-01T04:18:19.399Z
p23,15,1,2026-09-01T04:18:19.581Z
p23,16,-1,2026-09-01T04:18:19.779Z
p23,17,0,2026-09-01T04:18:19.932Z
p23,18,1,2026-09-01T04:18:20.062Z
p23,19,-1,2026-09-01T04:18:20.207Z
p23,20,1,2026-09-01T04:18:20.359Z
p23,21,1,2026-09-01T04:18:20.484Z
p23,22,1,2026-09-01T04:18:20.636Z
p23,23,1,2026-09-01T04:18:20.792Z
p23,24,1,2026-09-01T04:18:20.927Z
p24,1,1,2026-09-01T04:18:17.412Z
p24,2,1,2026-09-01T04:18:17.616Z
p24,3,-1,2026-09-01T04:18:17.773Z
p24,4,-1,2026-09-01T04:18:17.886Z
p24,5,1,2026-09-01T04:18:18.035Z
p24,6,0,2026-09-01T04:18:18.174Z
p24,7,1,2026-09-01T04:18:18.298Z
p24,8,1,2026-09-01T04:18:18.420Z
p24,9,1,2026-09-01T04:18:18.579Z
p24,10,0,2026-09-01T04:18:18.740Z
p24,11,1,2026-09-01T04:18:18.869Z
p24,12,-1,2026-09-01T04:18:19.025Z
p24,13,-1,2026-09-01T04:18:19.214Z
p24,14,-1,2026-09-01T04:18:19.394Z
p24,15,1,2026-09-01T04:18:19.550Z
p24,16,1,2026-09-01T04:18:19.657Z
p24,17,1,2026-09-01T04:18:19.814Z
p24,18,1,2026-09-01T04:18:19.952Z
p24,19,0,2026-09-01T04:18:20.060Z
p24,20,0,2026-09-01T04:18:20.164Z
p24,21,0,2026-09-01T04:18:20.268Z
p24,22,1,2026-09-01T04:18:20.376Z
p24,23,1,2026-09-01T04:18:20.510Z
